Organism	Protein	COG	Cat	Annotation
1300	1377	COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit
1298	1455	COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
1289	1330	COG0195	K	Transcription antitermination factor NusA, contains S1 and KH domains
1304	1336	COG0202	K	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
1154	1253	COG0217	J K	Transcriptional and/or translational regulatory protein YebC/TACO1
1299	1643	COG0250	K	Transcription termination/antitermination protein NusG
517	667	COG0271	K T	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation
1133	1849	COG0317	K T	(p)ppGpp synthase/hydrolase, HD superfamily
71	77	COG0454	K R	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)
856	1713	COG0553	K L	Superfamily II DNA or RNA helicase, SNF2 family
1035	1273	COG0557	K	Exoribonuclease R
1183	2893	COG0568	K	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)
1170	1220	COG0571	K	dsRNA-specific ribonuclease
1068	21908	COG0583	K	DNA-binding transcriptional regulator, LysR family
1167	6304	COG0640	K	DNA-binding transcriptional regulator, ArsR family
1021	1095	COG0718	K	DNA-binding nucleoid-associated protein YbaB/EfbC
1195	17683	COG0745	K T	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
1235	1418	COG0750	K O	Membrane-associated protease RseP, regulator of RpoE activity
1176	1641	COG0781	K	Transcription antitermination protein NusB
1121	2031	COG0782	K	Transcription elongation factor, GreA/GreB family
1070	5757	COG0789	K	DNA-binding transcriptional regulator, MerR family
1129	1175	COG0816	J K L	YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor
377	540	COG0864	K	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain
821	1608	COG1061	K L	Superfamily II DNA or RNA helicase
122	122	COG1095	K	DNA-directed RNA polymerase, subunit E'/Rpb7
1061	1121	COG1158	K	Transcription termination factor Rho
842	2890	COG1167	K E	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain
658	1288	COG1191	K	DNA-directed RNA polymerase specialized sigma subunit
